policy,n_total,n_fraud,n_legitimate,approve_count,verify_count,review_count,hold_count,intervention_count,intervention_rate,tp,fp,tn,fn,precision,precision_ci_low,precision_ci_high,recall,recall_ci_low,recall_ci_high,fpr,fraud_captured,fraud_capture_rate,legitimate_challenged,legitimate_challenge_rate,gross_fraud_value,baseline_fraud_loss,intercepted_fraud_loss,residual_fraud_loss,loss_avoided,loss_avoidance_rate,legitimate_intervention_cost,fraud_intervention_cost,total_intervention_cost,net_economic_value,mean_probability,assumed_fraud_interception_rate,assumed_lgf
conservative,88581,3083,85498,88427,38,89,27,154,0.0017385218049017284,57,97,85401,3026,0.37012987012987014,0.29789912399152113,0.4486820321960971,0.018488485241647746,0.014297936946463686,0.023877479702797796,0.0011345294626774894,57,0.018488485241647746,97,0.0011345294626774894,469608.52099999995,375686.8168,11410.075200000001,364276.74159999995,11410.075200000001,0.030371241922162655,6435.0,5050.0,11485.0,-74.92479999999887,0.036467353558124194,1.0,0.8
balanced,88581,3083,85498,88265,200,89,27,316,0.0035673564308373127,107,209,85289,2976,0.33860759493670883,0.2886466656252605,0.39244533421712996,0.03470645475186507,0.02880265852783439,0.04176833182808721,0.002444501625769024,107,0.03470645475186507,209,0.002444501625769024,469608.52099999995,375686.8168,19577.582400000003,356109.23439999996,19577.582400000003,0.05211144369333112,8675.0,6050.0,14725.0,4852.582400000003,0.036467353558124194,1.0,0.8
sensitive,88581,3083,85498,88074,391,89,27,507,0.005723575033020625,127,380,85118,2956,0.2504930966469428,0.21474825416470553,0.2899904556023824,0.041193642555951995,0.03473053546323201,0.048798684375353625,0.004444548410489134,127,0.041193642555951995,380,0.004444548410489134,469608.52099999995,375686.8168,29987.2304,345699.5864,29987.2304,0.07981975693324356,12095.0,6450.0,18545.0,11442.2304,0.036467353558124194,1.0,0.8
