threshold,tp,fp,tn,fn,flagged,precision,recall,fpr,intervention_rate,loss_avoided,fp_cost,net_value
0.014,2936,68083,17415,147,71019,0.04134104957828187,0.9523191696399611,0.796311024819294,0.8017407796254276,365755.9304,1361660.0,-995904.0696
0.015,2849,63246,22252,234,66095,0.04310462213480596,0.9240999026921829,0.7397366020257784,0.7461532382790892,360421.18480000005,1264920.0,-904498.8152
0.016,2849,63246,22252,234,66095,0.04310462213480596,0.9240999026921829,0.7397366020257784,0.7461532382790892,360421.18480000005,1264920.0,-904498.8152
0.017,2849,63246,22252,234,66095,0.04310462213480596,0.9240999026921829,0.7397366020257784,0.7461532382790892,360421.18480000005,1264920.0,-904498.8152
0.018000000000000002,2849,63246,22252,234,66095,0.04310462213480596,0.9240999026921829,0.7397366020257784,0.7461532382790892,360421.18480000005,1264920.0,-904498.8152
0.019,2719,57158,28340,364,59877,0.04540975666783573,0.8819331819656179,0.6685302580177314,0.6759575981305246,349209.7576,1143160.0,-793950.2424
0.02,2719,57158,28340,364,59877,0.04540975666783573,0.8819331819656179,0.6685302580177314,0.6759575981305246,349209.7576,1143160.0,-793950.2424
0.021,2719,57158,28340,364,59877,0.04540975666783573,0.8819331819656179,0.6685302580177314,0.6759575981305246,349209.7576,1143160.0,-793950.2424
0.022,2502,46949,38549,581,49451,0.05059553901842228,0.8115471942912748,0.5491239561159326,0.5582574141181518,328754.04400000005,938980.0,-610225.956
0.023,2502,46949,38549,581,49451,0.05059553901842228,0.8115471942912748,0.5491239561159326,0.5582574141181518,328754.04400000005,938980.0,-610225.956
0.024,2424,43095,42403,659,45519,0.053252487972055625,0.7862471618553357,0.5040468782895506,0.5138686625800115,318224.3112,861900.0,-543675.6888
0.025,2424,43095,42403,659,45519,0.053252487972055625,0.7862471618553357,0.5040468782895506,0.5138686625800115,318224.3112,861900.0,-543675.6888
0.026000000000000002,2424,43095,42403,659,45519,0.053252487972055625,0.7862471618553357,0.5040468782895506,0.5138686625800115,318224.3112,861900.0,-543675.6888
0.027,2424,43095,42403,659,45519,0.053252487972055625,0.7862471618553357,0.5040468782895506,0.5138686625800115,318224.3112,861900.0,-543675.6888
0.028,2237,34990,50508,846,37227,0.060090794315953475,0.7255919558871229,0.40924933916582845,0.4202594235784198,292117.3392,699800.0,-407682.6608
0.029,2237,34990,50508,846,37227,0.060090794315953475,0.7255919558871229,0.40924933916582845,0.4202594235784198,292117.3392,699800.0,-407682.6608
0.03,2237,34990,50508,846,37227,0.060090794315953475,0.7255919558871229,0.40924933916582845,0.4202594235784198,292117.3392,699800.0,-407682.6608
0.031,2237,34989,50509,846,37226,0.060092408531671415,0.7255919558871229,0.40923764298580084,0.4202481344757905,292117.3392,699780.0,-407662.6608
0.032,2144,31276,54222,939,33420,0.06415320167564333,0.6954265325981187,0.36580972654331095,0.3772818098689335,279784.5888,625520.0,-345735.4112
0.033,2144,31276,54222,939,33420,0.06415320167564333,0.6954265325981187,0.36580972654331095,0.3772818098689335,279784.5888,625520.0,-345735.4112
0.034,2144,31276,54222,939,33420,0.06415320167564333,0.6954265325981187,0.36580972654331095,0.3772818098689335,279784.5888,625520.0,-345735.4112
0.035,2144,31276,54222,939,33420,0.06415320167564333,0.6954265325981187,0.36580972654331095,0.3772818098689335,279784.5888,625520.0,-345735.4112
0.036000000000000004,2078,28625,56873,1005,30703,0.06768068266944598,0.6740188128446318,0.33480315329013544,0.34660931802531014,269348.05360000004,572500.0,-303151.94639999996
0.037,2078,28625,56873,1005,30703,0.06768068266944598,0.6740188128446318,0.33480315329013544,0.34660931802531014,269348.05360000004,572500.0,-303151.94639999996
0.038,2078,28625,56873,1005,30703,0.06768068266944598,0.6740188128446318,0.33480315329013544,0.34660931802531014,269348.05360000004,572500.0,-303151.94639999996
0.039,2078,28625,56873,1005,30703,0.06768068266944598,0.6740188128446318,0.33480315329013544,0.34660931802531014,269348.05360000004,572500.0,-303151.94639999996
0.04,2078,28625,56873,1005,30703,0.06768068266944598,0.6740188128446318,0.33480315329013544,0.34660931802531014,269348.05360000004,572500.0,-303151.94639999996
0.041,2075,28505,56993,1008,30580,0.06785480706344016,0.6730457346740188,0.3333996116868231,0.34522075840191463,269218.19360000006,570100.0,-300881.80639999994
0.042,2075,28505,56993,1008,30580,0.06785480706344016,0.6730457346740188,0.3333996116868231,0.34522075840191463,269218.19360000006,570100.0,-300881.80639999994
0.043000000000000003,2075,28505,56993,1008,30580,0.06785480706344016,0.6730457346740188,0.3333996116868231,0.34522075840191463,269218.19360000006,570100.0,-300881.80639999994
0.044,1691,17568,67930,1392,19259,0.08780310504179864,0.5484917288355498,0.20547849072492924,0.21741682753637914,212389.7976,351360.0,-138970.2024
0.045,1691,17567,67931,1392,19258,0.08780766434728425,0.5484917288355498,0.20546679454490163,0.2174055384337499,212389.7976,351340.0,-138950.2024
0.046,1685,17289,68209,1398,18974,0.08880573416253822,0.5465455724943237,0.20221525649722802,0.21419943328704802,211486.95520000003,345780.0,-134293.04479999997
0.047,1685,17288,68210,1398,18973,0.08881041479997892,0.5465455724943237,0.2022035603172004,0.21418814418441878,211486.95520000003,345760.0,-134273.04479999997
0.048,1597,15701,69797,1486,17298,0.09232281188576714,0.5180019461563412,0.18364172261339445,0.19527889728045517,195939.8568,314020.0,-118080.14319999999
0.049,1597,15701,69797,1486,17298,0.09232281188576714,0.5180019461563412,0.18364172261339445,0.19527889728045517,195939.8568,314020.0,-118080.14319999999
0.05,1597,15701,69797,1486,17298,0.09232281188576714,0.5180019461563412,0.18364172261339445,0.19527889728045517,195939.8568,314020.0,-118080.14319999999
0.051000000000000004,1597,15701,69797,1486,17298,0.09232281188576714,0.5180019461563412,0.18364172261339445,0.19527889728045517,195939.8568,314020.0,-118080.14319999999
0.052000000000000005,1597,15701,69797,1486,17298,0.09232281188576714,0.5180019461563412,0.18364172261339445,0.19527889728045517,195939.8568,314020.0,-118080.14319999999
0.053,1393,11822,73676,1690,13215,0.10541051835035944,0.45183263055465456,0.13827224028632248,0.14918549124530092,155982.1232,236440.0,-80457.8768
0.054,1393,11822,73676,1690,13215,0.10541051835035944,0.45183263055465456,0.13827224028632248,0.14918549124530092,155982.1232,236440.0,-80457.8768
