precision,recall,threshold
0.03480430340592226,1.0,0.0
0.03499437225007674,0.9983782030489783,0.0008459886471183821
0.03498340079130474,0.9980538436587739,0.001978955586676031
0.03498379853334091,0.9980538436587739,0.00214454998730517
0.034984196284421405,0.9980538436587739,0.0030676880644876633
0.03498499181371657,0.9980538436587739,0.0032213529682466636
0.03578635499410948,0.9951346091469349,0.003232062055591467
0.03634077781599516,0.9938371715861174,0.003472222222222222
0.03677098749834554,0.9912422964644827,0.009635525764558023
0.038298464770728124,0.9815115147583523,0.009910802775024777
0.03866101499571002,0.9792409990269219,0.010305005762726352
0.03864870402622682,0.9789166396367175,0.010499219569954575
0.03864919897037919,0.9789166396367175,0.011465324384787472
0.03974486745066773,0.9701589361012001,0.012946116165150455
0.04072460381818931,0.9610768731754784,0.012987012987012988
0.04076606634288623,0.9610768731754784,0.01329092955165055
0.04076662722544784,0.9610768731754784,0.013509511287460061
0.04076718812344354,0.9610768731754784,0.013598806425164475
0.04076774903687397,0.9610768731754784,0.013713658804168952
0.041340467473951,0.9523191696399611,0.013879133357054355
0.04134104957828187,0.9523191696399611,0.014771048744460856
0.0415228354286526,0.9481024975673046,0.01497672535923902
0.04310462213480596,0.9240999026921829,0.018845348489380798
0.04540975666783573,0.8819331819656179,0.021025451862781264
0.04645455494830647,0.8657152124554006,0.02127659574468085
0.046456939799331104,0.8650664936749919,0.02169779666703948
0.05059553901842228,0.8115471942912748,0.023674242424242424
0.053252487972055625,0.7862471618553357,0.027142857142857142
0.05367017481270068,0.7807330522218618,0.027321703453693696
0.05367137155216625,0.7807330522218618,0.027360408723394895
0.0536725683450029,0.7807330522218618,0.027365129007036748
0.05647564609897894,0.7499189101524489,0.02737973978825302
0.05647702567359601,0.7499189101524489,0.027414250007877925
0.05647840531561462,0.7499189101524489,0.027520391917514157
0.0564797850250397,0.7499189101524489,0.027684132530532566
0.05648116480187619,0.7499189101524489,0.02773944327284727
0.05648254464612904,0.7499189101524489,0.02783427654308444
0.05648392455780318,0.7499189101524489,0.027892847279756973
0.060090794315953475,0.7255919558871229,0.03028878947609674
0.060092408531671415,0.7255919558871229,0.031003382187147686
0.06415320167564333,0.6954265325981187,0.0351027397260274
0.06768068266944598,0.6740188128446318,0.04032258064516129
0.06785258820836466,0.6730457346740188,0.04065258753325223
0.06785480706344016,0.6730457346740188,0.043411171690155334
0.08779398785109807,0.5484917288355498,0.0435288776159825
0.08779854620976116,0.5484917288355498,0.0436947444608471
0.08780310504179864,0.5484917288355498,0.04437913308467509
0.08780766434728425,0.5484917288355498,0.045454545454545456
0.08880105401844532,0.5465455724943237,0.04565780711192015
0.08880573416253822,0.5465455724943237,0.04618965731076608
0.08881041479997892,0.5465455724943237,0.0475177304964539
0.09232281188576714,0.5180019461563412,0.052135330005546314
0.10540254237288135,0.45183263055465456,0.052860461792543466
0.10541051835035944,0.45183263055465456,0.05728232756284299
0.1054184955350386,0.45183263055465456,0.058355437665782495
0.10677714375048855,0.4430749270191372,0.05942067145982637
0.1067854909318324,0.4430749270191372,0.061685490877497834
0.1284858262272413,0.3616607200778463,0.06643949915434515
0.12838538665437363,0.3613363606876419,0.06989247311827956
0.1423855317927372,0.32176451508271164,0.07182940516273849
0.15219560878243513,0.296788842036977,0.07428017162031124
0.15222092829812012,0.296788842036977,0.1037037037037037
0.1545563344161395,0.2932208887447292,0.10415311491061201
0.1545827633378933,0.2932208887447292,0.10553633217993079
0.16343919442292795,0.2737593253324684,0.10807928068919595
0.16347085028084446,0.2737593253324684,0.1126530612244898
0.18459111227977912,0.22770029192345118,0.1138353765323993
0.21897533206831118,0.18715536814790787,0.11500205945951103
0.2190584662110858,0.18715536814790787,0.11594202898550725
0.2268976897689769,0.17839766461239054,0.12658227848101264
0.2543046357615894,0.12455400583846903,0.14957258984216865
0.2544731610337972,0.12455400583846903,0.14984752910602445
0.2539787798408488,0.12422964644826467,0.15140061913313685
0.2541473125414731,0.12422964644826467,0.15541609998514264
0.2543160690571049,0.12422964644826467,0.1624344956570808
0.25448504983388703,0.12422964644826467,0.16597389779999355
0.2546542553191489,0.12422964644826467,0.16666666666666666
0.257201646090535,0.1216347713266299,0.16746705324906258
0.2573781743308167,0.1216347713266299,0.16888988368814792
0.25755494505494503,0.1216347713266299,0.16890255805869672
0.25773195876288657,0.1216347713266299,0.16903062948796965
0.2579092159559835,0.1216347713266299,0.16942148760330578
0.2956043956043956,0.08725267596496919,0.16947035891631596
0.29592959295929594,0.08725267596496919,0.17073170731707318
0.3094928478543563,0.07719753486863444,0.2
0.31378299120234604,0.06941290950373014,0.2351421188630491
0.4611872146118721,0.03276029841063899,0.24197812146608255
0.463302752293578,0.03276029841063899,0.2469809834868008
0.46543778801843316,0.03276029841063899,0.25
0.460093896713615,0.03178722024002595,0.26262626262626265
0.4444444444444444,0.016866688290626014,0.2645370391203792
0.4482758620689655,0.016866688290626014,0.48
0.5263157894736842,0.012974375608173857,0.4965670463983197
0.52,0.01265001621796951,0.5
0.5138888888888888,0.012001297437560817,0.5013956498208171
0.5070422535211268,0.01167693804735647,0.5098016746339362
0.5,0.011352578657152125,0.5139814880086475
0.4927536231884058,0.011028219266947779,0.5139899297392286
0.5,0.011028219266947779,0.515095001920564
0.5074626865671642,0.011028219266947779,0.5167406956599239
0.5151515151515151,0.011028219266947779,0.5238095238095238
0.54,0.008757703535517353,0.5555555555555556
0.5185185185185185,0.0045410314628608495,0.6341463414634146
1.0,0.0012974375608173856,0.6926176833065445
1.0,0.0009730781706130393,1.0
1.0,0.0,
