decision,transactions,transaction_pct,fraud_count,fraud_rate_pct,fraud_capture_pct,total_amount,average_amount,total_expected_loss,average_expected_loss
APPROVE,88356,99.74599519084228,3020,3.417990855176785,97.95653584171262,11862642.813000001,134.2596180564987,387123.1840802903,4.38140232785878
VERIFY,222,0.25061807836895045,60,27.027027027027028,1.9461563412260785,284836.373,1283.0467252252254,20630.197961421138,92.92881964604116
REVIEW,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
HOLD,3,0.003386730788769601,3,100.0,0.09730781706130393,1275.0,425.0,1020.0,340.0
