verify_probability,review_probability,hold_probability,verify_expected_loss,review_expected_loss,hold_expected_loss,transactions,fraud_transactions,legitimate_transactions,challenged_count,challenge_rate,fraud_challenged,fraud_capture_rate,legitimate_challenged,legitimate_challenge_rate,challenge_precision,baseline_actual_loss,residual_actual_loss,actual_loss_avoided,loss_avoidance_rate,mean_probability
0.1,0.3,0.6,50.0,300.0,700.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,300.0,800.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,300.0,1000.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,300.0,1200.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,300.0,1500.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,400.0,700.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,400.0,800.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,400.0,1000.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,400.0,1200.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,400.0,1500.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,500.0,700.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,500.0,800.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,500.0,1000.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,500.0,1200.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,500.0,1500.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,600.0,700.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,600.0,800.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,600.0,1000.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,600.0,1200.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,600.0,1500.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,750.0,800.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,750.0,1000.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,750.0,1200.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
0.1,0.3,0.6,50.0,750.0,1500.0,88581,3042,85539,5915,0.06677504205190729,807,0.26528599605522685,5108,0.059715451431510774,0.1364327979712595,397526.0704,286658.472,110867.59840000002,0.2788939057215605,0.03434145019812375
