feature,psi_train_to_cal,psi_train_to_test,train_mean,cal_mean,test_mean,train_zero_rate,cal_zero_rate,test_zero_rate,mean_change_train_to_test
amount,0.010703339329647711,0.010251511393487713,134.6048915399465,134.8764824736682,137.1485328230659,0.0,0.0,0.0,0.018897093961585537
customer_transactions_1h,0.017713264192461005,0.0023897708545748977,1.3581492000058057,1.0384281053499058,2.321874894164663,0.5720841457455405,0.614962576624784,0.5910861245639584,0.7095874990426217
customer_transactions_1m,,,0.033514120248295746,0.029182330296564727,0.08150732098305506,0.9689025540788334,0.9724320113794155,0.9550580824330274,1.4320292574948272
payment_customer_count,,,0.9686267774288907,0.9918041114911775,0.990020433275759,0.03137322257110925,0.008195888508822434,0.00997956672424109,0.022086583135410807
merchant_transaction_count,6.882271391775055,8.39630301373772,112490.25350647591,280360.2283333898,327269.89370180963,1.2095467102748574e-05,0.0,0.0,1.9093177719878562
ip_customer_count,0.8066935064100689,0.8146302247920651,809.1425547561796,1188.751786500491,1291.454646030187,0.0009676373682198859,0.0002709384631015681,0.00015804743680924803,0.596078019180864
ip_transactions_1h,0.16735376934251722,0.06579882980292792,10.91590263632801,7.728553527280116,9.285196599722289,0.07533782639617977,0.09144173129677922,0.08937582551562977,-0.14938810751011541
customer_degree,0.23242000560371795,0.32770322882806635,926.3183599514246,2017.7099942425577,2435.332035086531,0.02961454165436961,0.007620144274731602,0.007179869272191553,1.6290443333264366
device_customer_count,7.746336562214566,7.5696784091535605,5761.135515194326,8712.425474988993,8996.156783057315,0.003742337521590409,0.0015240288549463203,0.0011853557760693602,0.5615249388477316
device_transactions_1h,0.24620347599879813,0.38136112171288644,134.38105317651156,124.48907779320622,117.52931215497681,0.04117538911117669,0.04310179383840779,0.04200675088337228,-0.12540265627625147
