,amount,customer_transactions_1m,customer_transactions_1h,device_transactions_1h,ip_transactions_1h,customer_degree,device_customer_count,ip_customer_count,payment_customer_count,merchant_transaction_count
amount,1.0,0.004972902278257141,-0.01821041924545763,0.12768354640206633,-0.102607575996339,-0.03251596832667961,0.1106954269175155,-0.07569133422594246,-0.013212094256372795,0.14877902366259763
customer_transactions_1m,0.004972902278257141,1.0,0.23945622035453407,-0.01134767293839786,0.05202457081820765,0.10234398870155349,-0.04355187234134545,0.0004277864675588201,0.03224113950402051,-0.04500417036928276
customer_transactions_1h,-0.01821041924545763,0.23945622035453407,1.0,0.058706902097206214,0.21465714746991682,0.5401593430894015,-0.07538515813919308,0.047861485148535145,0.14794528682339156,-0.07932515031745378
device_transactions_1h,0.12768354640206633,-0.01134767293839786,0.058706902097206214,1.0,0.08533063616040501,0.004087759874657881,0.42685480993149066,-0.06103579490215173,0.02813756074778456,0.36442318532742063
ip_transactions_1h,-0.102607575996339,0.05202457081820765,0.21465714746991682,0.08533063616040501,1.0,0.09793678848907453,-0.18547260165218227,0.5473882931782807,0.019314484182802637,-0.22089169748080925
customer_degree,-0.03251596832667961,0.10234398870155349,0.5401593430894015,0.004087759874657881,0.09793678848907453,1.0,0.2522566607443339,0.3335832192719691,0.293169152467273,0.2705714100248932
device_customer_count,0.1106954269175155,-0.04355187234134545,-0.07538515813919308,0.42685480993149066,-0.18547260165218227,0.2522566607443339,1.0,0.33612930178493444,0.13110832011619128,0.9253444832855132
ip_customer_count,-0.07569133422594246,0.0004277864675588201,0.047861485148535145,-0.06103579490215173,0.5473882931782807,0.3335832192719691,0.33612930178493444,1.0,0.1236691411880047,0.3408985624894687
payment_customer_count,-0.013212094256372795,0.03224113950402051,0.14794528682339156,0.02813756074778456,0.019314484182802637,0.293169152467273,0.13110832011619128,0.1236691411880047,1.0,0.14514839601891913
merchant_transaction_count,0.14877902366259763,-0.04500417036928276,-0.07932515031745378,0.36442318532742063,-0.22089169748080925,0.2705714100248932,0.9253444832855132,0.3408985624894687,0.14514839601891913,1.0
