operating_point,transactions,fraud_transactions,legitimate_transactions,approve_count,verify_count,review_count,hold_count,intervention_count,intervention_rate,fraud_captured,fraud_capture_rate,legitimate_challenged,legitimate_challenge_rate,precision,recall,f1,false_positive_rate,gross_fraud_amount,intercepted_fraud_amount,baseline_actual_loss,residual_actual_loss,actual_loss_avoided,loss_avoidance_rate,mean_probability
conservative,88581,3083,85498,88427,38,89,27,154,0.0017385218049017284,57,0.018488485241647746,97,0.0011345294626774894,0.37012987012987014,0.018488485241647746,0.03521779425393883,0.0011345294626774894,469608.52099999995,14262.594000000001,375686.81680000003,364276.74160000007,11410.075199999963,0.03037124192216255,0.036467353558124194
balanced,88581,3083,85498,88265,200,89,27,316,0.0035673564308373127,107,0.03470645475186507,209,0.002444501625769024,0.33860759493670883,0.03470645475186507,0.0629596940276552,0.002444501625769024,469608.52099999995,24471.978000000003,375686.81680000003,356109.2344,19577.582400000014,0.05211144369333114,0.036467353558124194
sensitive,88581,3083,85498,88074,391,89,27,507,0.005723575033020625,127,0.041193642555951995,380,0.004444548410489134,0.2504930966469428,0.041193642555951995,0.07075208913649025,0.004444548410489134,469608.52099999995,37484.038,375686.81680000003,345699.58640000003,29987.2304,0.07981975693324354,0.036467353558124194
