policy,transactions,fraud_transactions,legitimate_transactions,approve_count,verify_count,review_count,hold_count,approve_rate,verify_rate,review_rate,hold_rate,challenged_count,challenge_rate,fraud_challenged,fraud_capture_rate,legitimate_challenged,legitimate_challenge_rate,challenge_precision,baseline_actual_loss,residual_actual_loss,actual_loss_avoided,loss_avoidance_rate,mean_probability,verify_fraud_rate,verify_avg_amount,review_fraud_rate,review_avg_amount,hold_fraud_rate,hold_avg_amount
current,88581,3083,85498,88356,222,0,3,0.9974599519084228,0.0025061807836895046,0.0,3.386730788769601e-05,225,0.0025400480915772007,63,0.020434641582873826,162,0.0018947811644716836,0.28,375686.81680000003,359352.6936,16334.123200000031,0.04347803135369436,0.036467353558124194,0.2702702702702703,1283.0467252252254,0.0,0.0,1.0,425.0
balanced,88581,3083,85498,88356,198,24,3,0.9974599519084228,0.0022352423205879365,0.0002709384631015681,3.386730788769601e-05,225,0.0025400480915772007,63,0.020434641582873826,162,0.0018947811644716836,0.28,375686.81680000003,359352.6936,16334.123200000031,0.04347803135369436,0.036467353558124194,0.2474747474747475,1419.850217171717,0.4583333333333333,154.41791666666668,1.0,425.0
sensitive,88581,3083,85498,88074,432,72,3,0.9942764249669793,0.004876892335828225,0.0008128153893047042,3.386730788769601e-05,507,0.005723575033020625,127,0.041193642555951995,380,0.004444548410489134,0.2504930966469428,375686.81680000003,345699.58640000003,29987.2304,0.07981975693324354,0.036467353558124194,0.2037037037037037,1336.697444444444,0.5,121.85876388888889,1.0,425.0
conservative,88581,3083,85498,88450,127,1,3,0.9985211275555707,0.0014337160339124642,1.1289102629232002e-05,3.386730788769601e-05,131,0.0014788724444293924,54,0.017515407071034706,77,0.0009006058621254298,0.4122137404580153,375686.81680000003,365974.34160000004,9712.475199999986,0.025852584561599088,0.036467353558124194,0.3937007874015748,437.63695275590555,1.0,500.0,1.0,425.0
