bin,lower,upper,count,fraction,mean_probability,observed_fraud_rate,absolute_error
0,0.0,0.1,82570,0.9321412040956865,0.028731199515059643,0.026256509628194258,0.0024746898868653854
1,0.1,0.2,5242,0.059177475982434155,0.12228897329302967,0.12914917970240367,0.006860206409374001
2,0.2,0.30000000000000004,653,0.007371784016888498,0.23466526552800338,0.28483920367534454,0.05017393814734117
4,0.4,0.5,41,0.0004628532077985121,0.480404074302398,0.3170731707317073,0.1633309035706907
5,0.5,0.6000000000000001,48,0.0005418769262031362,0.5360361374690266,0.5208333333333334,0.015202804135693193
6,0.6000000000000001,0.7000000000000001,24,0.0002709384631015681,0.6365826473735451,0.4583333333333333,0.17824931404021177
9,0.9,1.0,3,3.386730788769601e-05,1.0,1.0,0.0
