policy_family,intervention_count,fpr_budget,tp,fp,tn,fn,precision,recall,fpr,intervention_rate,verify_count,review_count,hold_count,loss_avoided,intervention_cost,net_value
LOW_FRICTION,501,0.0025,342,159,85380,2700,0.6826347305389222,0.11242603550295859,0.0018588012485532914,0.005655840417245233,501,0,0,52507.053599999985,10020.0,42487.053599999985
LOW_FRICTION,502,0.0025,343,159,85380,2699,0.6832669322709163,0.11275476660092044,0.0018588012485532914,0.0056671295198744654,502,0,0,52545.416799999985,10040.0,42505.416799999985
LOW_FRICTION,503,0.0025,344,159,85380,2698,0.68389662027833,0.11308349769888232,0.0018588012485532914,0.005678418622503697,503,0,0,52665.4168,10060.0,42605.4168
LOW_FRICTION,504,0.0025,344,160,85379,2698,0.6825396825396826,0.11308349769888232,0.0018704918224435637,0.005689707725132929,504,0,0,52665.4168,10080.0,42585.4168
LOW_FRICTION,505,0.0025,344,161,85378,2698,0.6811881188118812,0.11308349769888232,0.001882182396333836,0.005700996827762162,505,0,0,52665.4168,10100.0,42565.4168
LOW_FRICTION,506,0.0025,345,161,85378,2697,0.6818181818181818,0.11341222879684418,0.001882182396333836,0.005712285930391393,506,0,0,52830.216799999995,10120.0,42710.216799999995
LOW_FRICTION,507,0.0025,346,161,85378,2696,0.6824457593688363,0.11374095989480605,0.001882182396333836,0.005723575033020625,507,0,0,52840.0536,10140.0,42700.0536
LOW_FRICTION,508,0.0025,346,162,85377,2696,0.6811023622047244,0.11374095989480605,0.0018938729702241083,0.005734864135649857,508,0,0,52840.0536,10160.0,42680.0536
LOW_FRICTION,509,0.0025,346,163,85376,2696,0.6797642436149313,0.11374095989480605,0.0019055635441143806,0.0057461532382790895,509,0,0,52840.0536,10180.0,42660.0536
LOW_FRICTION,510,0.0025,346,164,85375,2696,0.6784313725490196,0.11374095989480605,0.0019172541180046529,0.005757442340908321,510,0,0,52840.0536,10200.0,42640.0536
LOW_FRICTION,511,0.0025,346,165,85374,2696,0.6771037181996086,0.11374095989480605,0.0019289446918949252,0.005768731443537553,511,0,0,52840.0536,10220.0,42620.0536
LOW_FRICTION,512,0.0025,347,165,85374,2695,0.677734375,0.11406969099276791,0.0019289446918949252,0.005780020546166785,512,0,0,52920.0536,10240.0,42680.0536
LOW_FRICTION,513,0.0025,348,165,85374,2694,0.6783625730994152,0.11439842209072978,0.0019289446918949252,0.0057913096487960175,513,0,0,52932.54639999999,10260.0,42672.54639999999
LOW_FRICTION,514,0.0025,348,166,85373,2694,0.6770428015564203,0.11439842209072978,0.0019406352657851975,0.005802598751425249,514,0,0,52932.54639999999,10280.0,42652.54639999999
LOW_FRICTION,515,0.0025,348,167,85372,2694,0.6757281553398058,0.11439842209072978,0.0019523258396754698,0.005813887854054481,515,0,0,52932.54639999999,10300.0,42632.54639999999
LOW_FRICTION,516,0.0025,348,168,85371,2694,0.6744186046511628,0.11439842209072978,0.001964016413565742,0.005825176956683714,516,0,0,52932.54639999999,10320.0,42612.54639999999
LOW_FRICTION,517,0.0025,348,169,85370,2694,0.6731141199226306,0.11439842209072978,0.0019757069874560143,0.005836466059312945,517,0,0,52932.54639999999,10340.0,42592.54639999999
